Benchmark,Prompt_ID,Old_Top_1_Score,New_Top_1_Score
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,81,1,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,48,3,3
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,41,0,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,40,0,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,14,0,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,1,0,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,0,0,2
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,126,0,2
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,79,0,2
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,60,0,1
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,55,0,2
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,52,3,3
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,122,0,3
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,113,0,2
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,99,0,3
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,62,0,1
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,46,2,2
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,12,0,3
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,10,0,1
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,6,3,3
SOEvalPython_codeparrot_128_10.jsonl,9961563,1,2
SOEvalPython_codeparrot-small_128_10.jsonl,6473679,2,2
SOEvalPython_codegen-350M-multi_128_10.jsonl,209840,3,3
SOEvalPython_codegen-350M-mono_128_10.jsonl,39922986,0,2
SOEvalPython_codegen-2B-multi_128_10.jsonl,4020539,2,2
SOEvalPython_codegen-2B-mono_128_10.jsonl,1912434,1,1
SOEvalPython_PolyCoder-2.7B_128_10.jsonl,47152691,2,2
SOEvalPython_PolyCoder-2.7B_128_10.jsonl,466345,0,2
SOEvalPython_PolyCoder-160M_128_10.jsonl,38987,0,2
SOEvalPython_PolyCoder-0.4B_128_10.jsonl,72899,2,2
SOEvalJava_codegen-350M-multi_128_10.jsonl,5621338,2,2
SOEvalJava_codegen-2B-multi_128_10.jsonl,326390,0,2
SOEvalJava_codegen-2B-multi_128_10.jsonl,153724,0,3
SOEvalJava_PolyCoder-2.7B_128_10.jsonl,409784,2,2
SOEvalJava_PolyCoder-160M_128_10.jsonl,409784,0,2
SOEvalJava_PolyCoder-0.4B_128_10.jsonl,160970,0,2
HumanEval_python_gpt3.5_512_10.jsonl,HumanEval/160,1,3
HumanEval_python_codeparrot_128_10.jsonl,HumanEval/81,0,2
HumanEval_python_codegen-350M-multi_128_10.jsonl,HumanEval/162,2,2
HumanEval_python_codegen-350M-multi_128_10.jsonl,HumanEval/11,2,2
HumanEval_python_codegen-350M-mono_128_10.jsonl,HumanEval/59,0,2
HumanEval_python_codegen-350M-mono_128_10.jsonl,HumanEval/55,2,2
HumanEval_python_codegen-350M-mono_128_10.jsonl,HumanEval/162,1,3
HumanEval_python_codegen-350M-mono_128_10.jsonl,HumanEval/107,2,2
HumanEval_python_codegen-2B-multi_128_10.jsonl,HumanEval/91,2,2
HumanEval_python_codegen-2B-multi_128_10.jsonl,HumanEval/65,1,2
HumanEval_python_codegen-2B-multi_128_10.jsonl,HumanEval/29,3,3
HumanEval_python_codegen-2B-multi_128_10.jsonl,HumanEval/162,3,3
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval/46,2,2
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval/31,1,3
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval/28,3,3
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval/12,3,3
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval/100,1,2
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval/0,3,3
HumanEval_python_PolyCoder-2.7B_128_10.jsonl,HumanEval/4,2,2
HumanEval_python_PolyCoder-2.7B_128_10.jsonl,HumanEval/24,2,2
HumanEval_python_PolyCoder-2.7B_128_10.jsonl,HumanEval/2,0,2
HumanEval_python_PolyCoder-2.7B_128_10.jsonl,HumanEval/0,0,2
HumanEval_python_PolyCoder-160M_128_10.jsonl,HumanEval/77,0,2
HumanEval_python_PolyCoder-160M_128_10.jsonl,HumanEval/51,2,2
HumanEval_python_PolyCoder-160M_128_10.jsonl,HumanEval/161,0,2
HumanEval_python_PolyCoder-160M_128_10.jsonl,HumanEval/131,2,2
HumanEval_python_PolyCoder-160M_128_10.jsonl,HumanEval/113,2,2
HumanEval_python_PolyCoder-0.4B_128_10.jsonl,HumanEval/91,1,2
HumanEval_python_PolyCoder-0.4B_128_10.jsonl,HumanEval/8,0,2
HumanEval_python_PolyCoder-0.4B_128_10.jsonl,HumanEval/4,2,2
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java/26,1,1
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java/25,0,1
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java/132,0,1
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java/89,2,2
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java/49,3,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java/48,1,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java/44,3,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java/143,0,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java/124,1,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java/110,3,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java/108,0,1
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java/84,0,2
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java/80,0,1
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java/64,0,2
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java/60,2,2
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java/155,0,2
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java/145,0,1
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java/138,1,2
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java/122,2,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java/96,0,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java/57,2,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java/48,3,3
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java/28,3,3
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java/24,0,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java/163,1,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java/157,2,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java/154,2,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java/131,1,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java/104,0,1
HumanEval_java_PolyCoder-2.7B_128_10.jsonl,HumanEval_java/39,2,2
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java/31,0,2
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java/3,0,1
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java/157,2,2
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java/137,0,1
HumanEval_java_PolyCoder-0.4B_128_10.jsonl,HumanEval_java/76,0,2
HumanEval_java_PolyCoder-0.4B_128_10.jsonl,HumanEval_java/117,0,1
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,6306298b52e177c0ba469fdc,0,3
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,62e4fbda85ea986430890405,1,1
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,62b87d23d292efb640a55668,0,3
CoderEval4Python_prompt_codeparrot_128_10.jsonl,630629e152e177c0ba46a0d2,1,2
CoderEval4Python_prompt_codeparrot_128_10.jsonl,62e60f43d76274f8a4026e28,2,2
CoderEval4Python_prompt_codeparrot_128_10.jsonl,62b463153879012d19481498,0,3
CoderEval4Python_prompt_codeparrot_128_10.jsonl,62b45e145108cfac7f210a09,0,2
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,62e60e3bd76274f8a4026d1a,2,2
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,62e4fbda85ea986430890403,3,3
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,62b8b3d6eb7e40a82d2d111c,2,2
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,62b463153879012d1948149f,2,2
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,630629b952e177c0ba46a043,2,2
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,6306292a52e177c0ba469f41,2,2
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,62e60ed4d76274f8a4026da0,3,3
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,62b463163879012d194814a6,0,3
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,62b45e2eb89c9fd354170232,2,2
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,62b45e165108cfac7f210a17,0,2
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,6306298b52e177c0ba469fdc,0,3
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,62e60723d76274f8a4026b75,2,2
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,62b8b4c1eb7e40a82d2d1139,0,3
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,62b463163879012d194814a6,0,2
CoderEval4Python_prompt_codegen-2B-multi_128_10.jsonl,6306299052e177c0ba469fe8,1,3
CoderEval4Python_prompt_codegen-2B-multi_128_10.jsonl,6306091d73426c38ae68ace5,2,2
CoderEval4Python_prompt_codegen-2B-multi_128_10.jsonl,6306091073426c38ae68acac,3,3
CoderEval4Python_prompt_codegen-2B-multi_128_10.jsonl,62b8d24048ba5a41d1c3f49f,0,2
CoderEval4Python_prompt_codegen-2B-multi_128_10.jsonl,62b87d23d292efb640a55667,1,3
CoderEval4Python_prompt_codegen-2B-mono_128_10.jsonl,630629e252e177c0ba46a0d6,0,2
CoderEval4Python_prompt_codegen-2B-mono_128_10.jsonl,62b8d23e48ba5a41d1c3f49e,3,3
CoderEval4Python_prompt_codegen-2B-mono_128_10.jsonl,62b87b4f9a0c4fa8b80b3581,0,2
CoderEval4Python_prompt_codegen-2B-mono_128_10.jsonl,62b45e2eb89c9fd354170232,2,2
CoderEval4Python_prompt_codegen-2B-mono_128_10.jsonl,62b45df05108cfac7f2109ce,2,2
CoderEval4Python_prompt_PolyCoder-2.7B_128_10.jsonl,6306092e73426c38ae68ad0a,2,2
CoderEval4Python_prompt_PolyCoder-2.7B_128_10.jsonl,62e6087bd76274f8a4026bfa,2,2
CoderEval4Python_prompt_PolyCoder-2.7B_128_10.jsonl,62e4fc3c85ea98643089041e,2,2
CoderEval4Python_prompt_PolyCoder-2.7B_128_10.jsonl,62b87d24d292efb640a55670,2,2
CoderEval4Python_prompt_PolyCoder-2.7B_128_10.jsonl,62b463153879012d1948149c,3,3
CoderEval4Python_prompt_PolyCoder-2.7B_128_10.jsonl,62b45e515108cfac7f210a3c,2,2
CoderEval4Python_prompt_PolyCoder-160M_128_10.jsonl,630629b952e177c0ba46a043,2,2
CoderEval4Python_prompt_PolyCoder-160M_128_10.jsonl,6306092e73426c38ae68ad11,3,3
CoderEval4Python_prompt_PolyCoder-160M_128_10.jsonl,62b8d22948ba5a41d1c3f47c,2,2
CoderEval4Python_prompt_PolyCoder-160M_128_10.jsonl,62b45e21e0d4551b0392c8ed,2,2
CoderEval4Python_prompt_PolyCoder-0.4B_128_10.jsonl,6306292652e177c0ba469f34,3,3
CoderEval4Python_prompt_PolyCoder-0.4B_128_10.jsonl,6306092e73426c38ae68ad09,1,2
CoderEval4Python_prompt_PolyCoder-0.4B_128_10.jsonl,62ece4982e6aefcf4aabbd60,2,2
CoderEval4Python_prompt_PolyCoder-0.4B_128_10.jsonl,62b8d23748ba5a41d1c3f496,0,2
CoderEval4Python_prompt_PolyCoder-0.4B_128_10.jsonl,62b86729b4d922cb0e688c2f,2,2
CoderEval4Python_prompt_PolyCoder-0.4B_128_10.jsonl,62b463163879012d194814a4,0,2
CoderEval4Python_prompt_PolyCoder-0.4B_128_10.jsonl,62b463153879012d194814a1,3,3
CoderEval4Java_prompt_incoder-1B_128_10.jsonl,636766fe1a6d9265ec017833,1,2
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,636767a61a6d9265ec0185b7,3,3
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,636767821a6d9265ec0183ab,0,3
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,636767691a6d9265ec0181a6,3,3
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,636767551a6d9265ec017f3f,3,3
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,636767431a6d9265ec017c8d,3,3
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,636767151a6d9265ec017b6b,3,3
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,6367670c1a6d9265ec017a35,3,3
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,636767041a6d9265ec01790f,3,3
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,636766fa1a6d9265ec01779c,1,1
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,636766821a6d9265ec0174b3,0,3
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,636767dc1a6d9265ec0186be,0,3
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,636767ab1a6d9265ec018676,2,2
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,636767791a6d9265ec018263,0,2
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,6367676a1a6d9265ec0181d4,3,3
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,636767461a6d9265ec017d17,0,3
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,636766ff1a6d9265ec01783b,1,2
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,636766831a6d9265ec0174eb,0,1
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,636766801a6d9265ec017482,1,2
CoderEval4Java_prompt_codegen-2B-multi_128_10.jsonl,636767a41a6d9265ec01856c,0,3
CoderEval4Java_prompt_codegen-2B-multi_128_10.jsonl,6367676c1a6d9265ec01820b,0,3
CoderEval4Java_prompt_codegen-2B-multi_128_10.jsonl,6367670b1a6d9265ec017a0f,3,3
CoderEval4Java_prompt_codegen-2B-multi_128_10.jsonl,636766ff1a6d9265ec017842,0,3
CoderEval4Java_prompt_codegen-2B-multi_128_10.jsonl,636766fe1a6d9265ec017833,0,3
CoderEval4Java_prompt_codegen-2B-multi_128_10.jsonl,636766f81a6d9265ec017758,0,1
CoderEval4Java_prompt_codegen-2B-multi_128_10.jsonl,636766f21a6d9265ec01767d,1,3
CoderEval4Java_prompt_PolyCoder-2.7B_128_10.jsonl,636767821a6d9265ec0183a0,1,1
CoderEval4Java_prompt_PolyCoder-2.7B_128_10.jsonl,6367676b1a6d9265ec0181ee,0,2
CoderEval4Java_prompt_PolyCoder-2.7B_128_10.jsonl,6367672d1a6d9265ec017c73,0,2
CoderEval4Java_prompt_PolyCoder-2.7B_128_10.jsonl,636767001a6d9265ec01787f,0,2
CoderEval4Java_prompt_PolyCoder-2.7B_128_10.jsonl,636766831a6d9265ec0174eb,0,2
CoderEval4Java_prompt_PolyCoder-2.7B_128_10.jsonl,636766801a6d9265ec017487,0,1
CoderEval4Java_prompt_PolyCoder-160M_128_10.jsonl,6367676c1a6d9265ec018204,1,1
CoderEval4Java_prompt_PolyCoder-160M_128_10.jsonl,6367670a1a6d9265ec0179cf,0,2
CoderEval4Java_prompt_PolyCoder-160M_128_10.jsonl,636767081a6d9265ec0179a2,0,3
CoderEval4Java_prompt_PolyCoder-160M_128_10.jsonl,636767001a6d9265ec01787f,2,2
CoderEval4Java_prompt_PolyCoder-160M_128_10.jsonl,636766801a6d9265ec017482,0,2
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,636767dd1a6d9265ec0186f3,0,2
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,636767861a6d9265ec018440,0,2
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,6367676c1a6d9265ec01820b,0,2
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,636767041a6d9265ec0178f8,0,1
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,636766f01a6d9265ec01762e,0,2
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,636766a81a6d9265ec01758e,0,2
SecurityEval_python_incoder-1B_128_10.jsonl,CWE-776_codeql_1.py,1,1
SecurityEval_python_incoder-1B_128_10.jsonl,CWE-502_codeql_1.py,1,1
SecurityEval_python_incoder-1B_128_10.jsonl,CWE-327_codeql_1.py,0,1
SecurityEval_python_gpt3.5_512_10.jsonl,CWE-330_author_1.py,1,3
SecurityEval_python_gpt3.5_512_10.jsonl,CWE-326_author_2.py,1,1
SecurityEval_python_gpt3.5_512_10.jsonl,CWE-269_mitre_1.py,3,3
SecurityEval_python_gpt3.5_512_10.jsonl,CWE-200_author_1.py,1,3
SecurityEval_python_gpt3.5_512_10.jsonl,CWE-094_author_1.py,0,1
SecurityEval_python_gpt3.5_512_10.jsonl,CWE-079_codeql_1.py,0,1
SecurityEval_python_gpt3.5_512_10.jsonl,CWE-078_codeql_1.py,0,1
SecurityEval_python_codeparrot_128_10.jsonl,CWE-827_sonar_1.py,1,1
SecurityEval_python_codeparrot_128_10.jsonl,CWE-732_author_1.py,2,2
SecurityEval_python_codeparrot_128_10.jsonl,CWE-330_author_1.py,2,2
SecurityEval_python_codeparrot_128_10.jsonl,CWE-326_author_1.py,0,1
SecurityEval_python_codeparrot_128_10.jsonl,CWE-321_author_2.py,2,2
SecurityEval_python_codeparrot_128_10.jsonl,CWE-259_author_1.py,2,2
SecurityEval_python_codeparrot_128_10.jsonl,CWE-078_author_1.py,0,1
SecurityEval_python_codeparrot_128_10.jsonl,CWE-022_codeql_2.py,3,3
SecurityEval_python_codeparrot-small_128_10.jsonl,CWE-611_sonar_4.py,1,1
SecurityEval_python_codeparrot-small_128_10.jsonl,CWE-522_pearce_1.py,0,2
SecurityEval_python_codeparrot-small_128_10.jsonl,CWE-259_author_1.py,0,2
SecurityEval_python_codeparrot-small_128_10.jsonl,CWE-200_author_1.py,1,2
SecurityEval_python_codeparrot-small_128_10.jsonl,CWE-1204_sonar_1.py,1,1
SecurityEval_python_codeparrot-small_128_10.jsonl,CWE-089_author_1.py,1,1
SecurityEval_python_codeparrot-small_128_10.jsonl,CWE-079_codeql_1.py,0,1
SecurityEval_python_codeparrot-small_128_10.jsonl,CWE-020_author_2.py,1,1
SecurityEval_python_codegen-350M-multi_128_10.jsonl,CWE-776_codeql_1.py,0,1
SecurityEval_python_codegen-350M-multi_128_10.jsonl,CWE-759_mitre_1.py,1,2
SecurityEval_python_codegen-350M-multi_128_10.jsonl,CWE-611_codeql_1.py,0,1
SecurityEval_python_codegen-350M-multi_128_10.jsonl,CWE-522_pearce_1.py,0,2
SecurityEval_python_codegen-350M-multi_128_10.jsonl,CWE-434_pearce_1.py,2,2
SecurityEval_python_codegen-350M-multi_128_10.jsonl,CWE-326_author_2.py,1,1
SecurityEval_python_codegen-350M-multi_128_10.jsonl,CWE-117_codeql_1.py,0,2
SecurityEval_python_codegen-350M-multi_128_10.jsonl,CWE-022_codeql_2.py,0,2
SecurityEval_python_codegen-350M-multi_128_10.jsonl,CWE-020_codeql_2.py,0,1
SecurityEval_python_codegen-350M-mono_128_10.jsonl,CWE-605_author_1.py,0,3
SecurityEval_python_codegen-350M-mono_128_10.jsonl,CWE-522_pearce_1.py,0,2
SecurityEval_python_codegen-350M-mono_128_10.jsonl,CWE-502_mitre_1.py,2,2
SecurityEval_python_codegen-350M-mono_128_10.jsonl,CWE-502_codeql_1.py,1,1
SecurityEval_python_codegen-350M-mono_128_10.jsonl,CWE-326_author_2.py,1,1
SecurityEval_python_codegen-350M-mono_128_10.jsonl,CWE-200_author_1.py,2,2
SecurityEval_python_codegen-350M-mono_128_10.jsonl,CWE-078_author_1.py,1,1
SecurityEval_python_codegen-350M-mono_128_10.jsonl,CWE-022_author_2.py,1,3
SecurityEval_python_codegen-2B-multi_128_10.jsonl,CWE-827_sonar_1.py,1,1
SecurityEval_python_codegen-2B-multi_128_10.jsonl,CWE-379_sonar_1.py,3,3
SecurityEval_python_codegen-2B-multi_128_10.jsonl,CWE-327_codeql_2.py,2,2
SecurityEval_python_codegen-2B-multi_128_10.jsonl,CWE-095_author_1.py,1,2
SecurityEval_python_codegen-2B-multi_128_10.jsonl,CWE-094_sonar_1.py,0,2
SecurityEval_python_codegen-2B-multi_128_10.jsonl,CWE-089_codeql_1.py,0,1
SecurityEval_python_codegen-2B-multi_128_10.jsonl,CWE-022_codeql_2.py,2,2
SecurityEval_python_codegen-2B-multi_128_10.jsonl,CWE-020_codeql_2.py,0,1
SecurityEval_python_codegen-2B-multi_128_10.jsonl,CWE-020_author_2.py,1,1
SecurityEval_python_codegen-2B-mono_128_10.jsonl,CWE-611_author_1.py,0,1
SecurityEval_python_codegen-2B-mono_128_10.jsonl,CWE-522_pearce_1.py,1,2
SecurityEval_python_codegen-2B-mono_128_10.jsonl,CWE-502_codeql_1.py,1,1
SecurityEval_python_codegen-2B-mono_128_10.jsonl,CWE-434_pearce_2.py,0,2
SecurityEval_python_codegen-2B-mono_128_10.jsonl,CWE-347_sonar_3.py,3,3
SecurityEval_python_codegen-2B-mono_128_10.jsonl,CWE-347_sonar_2.py,3,3
SecurityEval_python_codegen-2B-mono_128_10.jsonl,CWE-331_author_1.py,1,3
SecurityEval_python_codegen-2B-mono_128_10.jsonl,CWE-094_sonar_1.py,0,2
SecurityEval_python_codegen-2B-mono_128_10.jsonl,CWE-020_author_2.py,1,1
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,CWE-730_codeql_1.py,2,2
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,CWE-595_author_1.py,1,3
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,CWE-339_mitre_1.py,3,3
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,CWE-330_author_1.py,1,2
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,CWE-283_mitre_1.py,2,2
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,CWE-1204_sonar_1.py,1,1
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,CWE-094_sonar_1.py,2,2
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,CWE-020_author_1.py,2,2
SecurityEval_python_PolyCoder-160M_128_10.jsonl,CWE-827_sonar_1.py,1,1
SecurityEval_python_PolyCoder-160M_128_10.jsonl,CWE-643_codeql_1.py,0,1
SecurityEval_python_PolyCoder-160M_128_10.jsonl,CWE-502_author_1.py,0,1
SecurityEval_python_PolyCoder-160M_128_10.jsonl,CWE-347_sonar_3.py,2,2
SecurityEval_python_PolyCoder-160M_128_10.jsonl,CWE-347_sonar_2.py,0,2
SecurityEval_python_PolyCoder-160M_128_10.jsonl,CWE-319_author_2.py,0,1
SecurityEval_python_PolyCoder-160M_128_10.jsonl,CWE-200_author_1.py,0,2
SecurityEval_python_PolyCoder-0.4B_128_10.jsonl,CWE-827_sonar_1.py,1,1
SecurityEval_python_PolyCoder-0.4B_128_10.jsonl,CWE-611_sonar_2.py,1,1
SecurityEval_python_PolyCoder-0.4B_128_10.jsonl,CWE-379_sonar_1.py,0,2
SecurityEval_python_PolyCoder-0.4B_128_10.jsonl,CWE-327_codeql_3.py,1,2
